provider_reference,negotiated_rate,billing_code,billing_code_type,negotiation_arrangement,negotiated_type,billing_class
42827,302.040000,0002M,CPT,ffs,negotiated,professional
54934,302.040000,0002M,CPT,ffs,negotiated,professional
34880,302.040000,0002M,CPT,ffs,negotiated,professional
8044,211.430000,0002M,CPT,ffs,negotiated,professional
36559,251.700000,0002M,CPT,ffs,negotiated,professional
42205,302.040000,0002M,CPT,ffs,negotiated,professional
19777,302.040000,0002M,CPT,ffs,negotiated,professional
30871,211.430000,0002M,CPT,ffs,negotiated,professional
43719,176.190000,0002M,CPT,ffs,negotiated,professional
3568,302.040000,0002M,CPT,ffs,negotiated,professional
58970,1006.800000,0002M,CPT,ffs,negotiated,professional
8476,629.250000,0002M,CPT,ffs,negotiated,professional
50195,211.430000,0002M,CPT,ffs,negotiated,professional
46797,503.400000,0002M,CPT,ffs,negotiated,professional
35028,211.430000,0002M,CPT,ffs,negotiated,professional
57521,503.400000,0002M,CPT,ffs,negotiated,professional
24986,211.430000,0002M,CPT,ffs,negotiated,professional
3458,302.040000,0002M,CPT,ffs,negotiated,professional
5672,211.430000,0002M,CPT,ffs,negotiated,professional
7813,302.040000,0002M,CPT,ffs,negotiated,professional
37417,211.430000,0002M,CPT,ffs,negotiated,professional
3528,176.190000,0002M,CPT,ffs,negotiated,professional
27134,302.040000,0002M,CPT,ffs,negotiated,professional
54466,211.430000,0002M,CPT,ffs,negotiated,professional
42071,211.430000,0002M,CPT,ffs,negotiated,professional
17807,302.040000,0002M,CPT,ffs,negotiated,professional
52220,211.430000,0002M,CPT,ffs,negotiated,professional
30929,211.430000,0002M,CPT,ffs,negotiated,professional
37949,377.550000,0002M,CPT,ffs,negotiated,professional
45307,302.040000,0002M,CPT,ffs,negotiated,professional
27700,211.430000,0002M,CPT,ffs,negotiated,professional
956,302.040000,0002M,CPT,ffs,negotiated,professional
33732,211.430000,0002M,CPT,ffs,negotiated,professional
26369,211.430000,0002M,CPT,ffs,negotiated,professional
34625,251.700000,0002M,CPT,ffs,negotiated,professional
54402,176.190000,0002M,CPT,ffs,negotiated,professional
10952,211.430000,0002M,CPT,ffs,negotiated,professional
11686,211.430000,0002M,CPT,ffs,negotiated,professional
7359,302.040000,0002M,CPT,ffs,negotiated,professional
23720,211.430000,0002M,CPT,ffs,negotiated,professional
55087,302.040000,0002M,CPT,ffs,negotiated,professional
151,302.040000,0002M,CPT,ffs,negotiated,professional
35362,302.040000,0002M,CPT,ffs,negotiated,professional
49711,211.430000,0002M,CPT,ffs,negotiated,professional
23896,211.430000,0002M,CPT,ffs,negotiated,professional
43363,211.430000,0002M,CPT,ffs,negotiated,professional
12693,251.700000,0002M,CPT,ffs,negotiated,professional
59394,176.190000,0002M,CPT,ffs,negotiated,professional
55523,453.060000,0002M,CPT,ffs,negotiated,professional
20882,211.430000,0002M,CPT,ffs,negotiated,professional
28819,211.430000,0002M,CPT,ffs,negotiated,professional
30515,699.730000,0002M,CPT,ffs,negotiated,professional
21447,211.430000,0002M,CPT,ffs,negotiated,professional
34268,302.040000,0002M,CPT,ffs,negotiated,professional
30250,251.700000,0002M,CPT,ffs,negotiated,professional
39251,211.430000,0002M,CPT,ffs,negotiated,professional
38763,211.430000,0002M,CPT,ffs,negotiated,professional
14061,302.040000,0002M,CPT,ffs,negotiated,professional
12813,211.430000,0002M,CPT,ffs,negotiated,professional
14643,302.040000,0002M,CPT,ffs,negotiated,professional
2493,211.430000,0002M,CPT,ffs,negotiated,professional
52531,211.430000,0002M,CPT,ffs,negotiated,professional
11020,176.190000,0002M,CPT,ffs,negotiated,professional
27202,211.430000,0002M,CPT,ffs,negotiated,professional
40840,211.430000,0002M,CPT,ffs,negotiated,professional
56640,503.400000,0002M,CPT,ffs,negotiated,professional
19402,302.040000,0002M,CPT,ffs,negotiated,professional
24807,251.700000,0002M,CPT,ffs,negotiated,professional
23850,211.430000,0002M,CPT,ffs,negotiated,professional
9700,211.430000,0002M,CPT,ffs,negotiated,professional
59528,251.700000,0002M,CPT,ffs,negotiated,professional
23161,211.430000,0002M,CPT,ffs,negotiated,professional
24300,176.190000,0002M,CPT,ffs,negotiated,professional
39016,211.430000,0002M,CPT,ffs,negotiated,professional
7827,211.430000,0002M,CPT,ffs,negotiated,professional
36300,211.430000,0002M,CPT,ffs,negotiated,professional
28508,211.430000,0002M,CPT,ffs,negotiated,professional
53084,302.040000,0002M,CPT,ffs,negotiated,professional
10336,211.430000,0002M,CPT,ffs,negotiated,professional
32797,211.430000,0002M,CPT,ffs,negotiated,professional
40855,382.580000,0002M,CPT,ffs,negotiated,professional
39417,211.430000,0002M,CPT,ffs,negotiated,professional
28375,211.430000,0002M,CPT,ffs,negotiated,professional
385,211.430000,0002M,CPT,ffs,negotiated,professional
284,211.430000,0002M,CPT,ffs,negotiated,professional
35955,302.040000,0002M,CPT,ffs,negotiated,professional
34110,211.430000,0002M,CPT,ffs,negotiated,professional
12768,211.430000,0002M,CPT,ffs,negotiated,professional
27782,302.040000,0002M,CPT,ffs,negotiated,professional
2412,211.430000,0002M,CPT,ffs,negotiated,professional
22380,238.060000,0002M,CPT,ffs,negotiated,professional
36656,302.040000,0002M,CPT,ffs,negotiated,professional
16716,211.430000,0002M,CPT,ffs,negotiated,professional
1117,302.040000,0002M,CPT,ffs,negotiated,professional
53424,211.430000,0002M,CPT,ffs,negotiated,professional
4100,211.430000,0002M,CPT,ffs,negotiated,professional
43560,211.430000,0002M,CPT,ffs,negotiated,professional
39858,211.430000,0002M,CPT,ffs,negotiated,professional
1643,226.530000,0002M,CPT,ffs,negotiated,professional
46054,251.700000,0002M,CPT,ffs,negotiated,professional
17157,302.040000,0002M,CPT,ffs,negotiated,professional
12334,211.430000,0002M,CPT,ffs,negotiated,professional
58853,302.040000,0002M,CPT,ffs,negotiated,professional
2307,309.590000,0002M,CPT,ffs,negotiated,professional
10134,251.700000,0002M,CPT,ffs,negotiated,professional
2396,211.430000,0002M,CPT,ffs,negotiated,professional
22661,211.430000,0002M,CPT,ffs,negotiated,professional
34102,211.430000,0002M,CPT,ffs,negotiated,professional
30207,176.190000,0002M,CPT,ffs,negotiated,professional
11724,211.430000,0002M,CPT,ffs,negotiated,professional
50808,211.430000,0002M,CPT,ffs,negotiated,professional
32522,211.430000,0002M,CPT,ffs,negotiated,professional
10841,251.700000,0002M,CPT,ffs,negotiated,professional
1089,1057.140000,0002M,CPT,ffs,negotiated,professional
28163,736.270000,0002M,CPT,ffs,negotiated,professional
24391,211.430000,0002M,CPT,ffs,negotiated,professional
9179,211.430000,0002M,CPT,ffs,negotiated,professional
24711,211.430000,0002M,CPT,ffs,negotiated,professional
12366,251.700000,0002M,CPT,ffs,negotiated,professional
31355,211.430000,0002M,CPT,ffs,negotiated,professional
18153,251.700000,0002M,CPT,ffs,negotiated,professional
451,302.040000,0002M,CPT,ffs,negotiated,professional
51362,211.430000,0002M,CPT,ffs,negotiated,professional
5928,302.040000,0002M,CPT,ffs,negotiated,professional
60974,211.430000,0002M,CPT,ffs,negotiated,professional
49127,211.430000,0002M,CPT,ffs,negotiated,professional
53532,302.040000,0002M,CPT,ffs,negotiated,professional
55245,250.280000,0002M,CPT,ffs,negotiated,professional
7404,211.430000,0002M,CPT,ffs,negotiated,professional
43832,246.530000,0002M,CPT,ffs,negotiated,professional
41113,302.040000,0002M,CPT,ffs,negotiated,professional
59893,325.620000,0002M,CPT,ffs,negotiated,professional
34451,219.970000,0002M,CPT,ffs,negotiated,professional
9532,302.040000,0002M,CPT,ffs,negotiated,professional
23592,211.430000,0002M,CPT,ffs,negotiated,professional
38040,211.430000,0002M,CPT,ffs,negotiated,professional
55459,251.700000,0002M,CPT,ffs,negotiated,professional
26066,302.040000,0002M,CPT,ffs,negotiated,professional
56460,211.430000,0002M,CPT,ffs,negotiated,professional
30029,211.430000,0002M,CPT,ffs,negotiated,professional
20424,256.730000,0002M,CPT,ffs,negotiated,professional
33880,211.430000,0002M,CPT,ffs,negotiated,professional
581,302.040000,0002M,CPT,ffs,negotiated,professional
52184,211.430000,0002M,CPT,ffs,negotiated,professional
11051,251.700000,0002M,CPT,ffs,negotiated,professional
15637,302.040000,0002M,CPT,ffs,negotiated,professional
6351,719.860000,0002M,CPT,ffs,negotiated,professional
45166,211.430000,0002M,CPT,ffs,negotiated,professional
31191,402.720000,0002M,CPT,ffs,negotiated,professional
37048,211.430000,0002M,CPT,ffs,negotiated,professional
17932,629.250000,0002M,CPT,ffs,negotiated,professional
30114,211.430000,0002M,CPT,ffs,negotiated,professional
48407,211.430000,0002M,CPT,ffs,negotiated,professional
50967,211.430000,0002M,CPT,ffs,negotiated,professional
50322,211.430000,0002M,CPT,ffs,negotiated,professional
866,302.040000,0002M,CPT,ffs,negotiated,professional
36994,226.530000,0002M,CPT,ffs,negotiated,professional
11092,211.430000,0002M,CPT,ffs,negotiated,professional
34828,211.430000,0002M,CPT,ffs,negotiated,professional
60908,302.040000,0002M,CPT,ffs,negotiated,professional
61018,503.400000,0002M,CPT,ffs,negotiated,professional
49023,226.530000,0002M,CPT,ffs,negotiated,professional
34179,211.430000,0002M,CPT,ffs,negotiated,professional
34508,302.040000,0002M,CPT,ffs,negotiated,professional
1962,604.080000,0002M,CPT,ffs,negotiated,institutional
14420,211.430000,0002M,CPT,ffs,negotiated,professional
11004,211.430000,0002M,CPT,ffs,negotiated,professional
61188,211.430000,0002M,CPT,ffs,negotiated,professional
1300,211.430000,0002M,CPT,ffs,negotiated,professional
39168,302.040000,0002M,CPT,ffs,negotiated,professional
44256,176.190000,0002M,CPT,ffs,negotiated,professional
41951,302.040000,0002M,CPT,ffs,negotiated,professional
61283,302.040000,0002M,CPT,ffs,negotiated,professional
39698,302.040000,0002M,CPT,ffs,negotiated,professional
51327,302.040000,0002M,CPT,ffs,negotiated,professional
58507,503.400000,0002M,CPT,ffs,negotiated,professional
17376,211.430000,0002M,CPT,ffs,negotiated,professional
56542,302.040000,0002M,CPT,ffs,negotiated,professional
35347,503.400000,0002M,CPT,ffs,negotiated,professional
52637,503.400000,0002M,CPT,ffs,negotiated,professional
58456,302.040000,0002M,CPT,ffs,negotiated,professional
1871,226.480000,0002M,CPT,ffs,negotiated,professional
31317,211.430000,0002M,CPT,ffs,negotiated,professional
18968,302.040000,0002M,CPT,ffs,negotiated,professional
32301,211.430000,0002M,CPT,ffs,negotiated,professional
4045,211.430000,0002M,CPT,ffs,negotiated,professional
11710,226.530000,0002M,CPT,ffs,negotiated,professional
42290,543.670000,0002M,CPT,ffs,negotiated,professional
56759,176.190000,0002M,CPT,ffs,negotiated,professional
15580,302.040000,0002M,CPT,ffs,negotiated,professional
45174,251.700000,0002M,CPT,ffs,negotiated,professional
21036,211.430000,0002M,CPT,ffs,negotiated,professional
6573,211.430000,0002M,CPT,ffs,negotiated,professional
33593,318.350000,0002M,CPT,ffs,negotiated,professional
44496,211.430000,0002M,CPT,ffs,negotiated,professional
56601,302.040000,0002M,CPT,ffs,negotiated,professional
42503,211.430000,0002M,CPT,ffs,negotiated,professional
25562,211.430000,0002M,CPT,ffs,negotiated,professional
39988,211.430000,0002M,CPT,ffs,negotiated,professional
29033,302.040000,0002M,CPT,ffs,negotiated,professional
42631,302.040000,0002M,CPT,ffs,negotiated,professional
15438,302.040000,0002M,CPT,ffs,negotiated,professional
52076,211.430000,0002M,CPT,ffs,negotiated,professional
42897,211.430000,0002M,CPT,ffs,negotiated,professional
49141,211.430000,0002M,CPT,ffs,negotiated,professional
24267,211.430000,0002M,CPT,ffs,negotiated,professional
13639,211.430000,0002M,CPT,ffs,negotiated,professional
34947,855.780000,0002M,CPT,ffs,negotiated,professional
42565,211.430000,0002M,CPT,ffs,negotiated,professional
61598,211.430000,0002M,CPT,ffs,negotiated,professional
374,211.430000,0002M,CPT,ffs,negotiated,professional
18873,211.430000,0002M,CPT,ffs,negotiated,professional
45354,302.040000,0002M,CPT,ffs,negotiated,professional
50273,211.430000,0002M,CPT,ffs,negotiated,professional
2521,211.430000,0002M,CPT,ffs,negotiated,professional
12092,251.700000,0002M,CPT,ffs,negotiated,professional
13654,276.870000,0002M,CPT,ffs,negotiated,professional
15755,302.040000,0002M,CPT,ffs,negotiated,professional
22946,211.430000,0002M,CPT,ffs,negotiated,professional
5523,302.040000,0002M,CPT,ffs,negotiated,professional
794,503.400000,0002M,CPT,ffs,negotiated,professional
45925,211.430000,0002M,CPT,ffs,negotiated,professional
15573,226.530000,0002M,CPT,ffs,negotiated,professional
1901,211.430000,0002M,CPT,ffs,negotiated,professional
19211,302.040000,0002M,CPT,ffs,negotiated,professional
29334,302.040000,0002M,CPT,ffs,negotiated,professional
40440,302.040000,0002M,CPT,ffs,negotiated,professional
43136,211.430000,0002M,CPT,ffs,negotiated,professional
41653,679.590000,0002M,CPT,ffs,negotiated,professional
2485,211.430000,0002M,CPT,ffs,negotiated,professional
20812,302.040000,0002M,CPT,ffs,negotiated,professional
13900,211.430000,0002M,CPT,ffs,negotiated,professional
3285,226.530000,0002M,CPT,ffs,negotiated,professional
34665,211.430000,0002M,CPT,ffs,negotiated,professional
28632,211.430000,0002M,CPT,ffs,negotiated,professional
31211,211.430000,0002M,CPT,ffs,negotiated,professional
47313,211.430000,0002M,CPT,ffs,negotiated,professional
10755,211.430000,0002M,CPT,ffs,negotiated,professional
2883,302.040000,0002M,CPT,ffs,negotiated,professional
37316,231.560000,0002M,CPT,ffs,negotiated,professional
5037,302.040000,0002M,CPT,ffs,negotiated,professional
7393,211.430000,0002M,CPT,ffs,negotiated,professional
41956,211.430000,0002M,CPT,ffs,negotiated,professional
53035,211.430000,0002M,CPT,ffs,negotiated,professional
21103,211.430000,0002M,CPT,ffs,negotiated,professional
47710,302.040000,0002M,CPT,ffs,negotiated,professional
45847,211.430000,0002M,CPT,ffs,negotiated,professional
58790,168.820000,0002M,CPT,ffs,negotiated,professional
704,780.270000,0002M,CPT,ffs,negotiated,professional
38715,211.430000,0002M,CPT,ffs,negotiated,professional
54094,755.100000,0002M,CPT,ffs,negotiated,professional
17436,281.900000,0002M,CPT,ffs,negotiated,professional
36639,533.600000,0002M,CPT,ffs,negotiated,professional
48512,211.430000,0002M,CPT,ffs,negotiated,professional
28309,302.040000,0002M,CPT,ffs,negotiated,professional
28873,211.430000,0002M,CPT,ffs,negotiated,professional
50293,211.430000,0002M,CPT,ffs,negotiated,professional
49678,211.430000,0002M,CPT,ffs,negotiated,professional
59688,211.430000,0002M,CPT,ffs,negotiated,professional
49577,302.040000,0002M,CPT,ffs,negotiated,professional
7455,302.040000,0002M,CPT,ffs,negotiated,professional
15321,302.040000,0002M,CPT,ffs,negotiated,professional
23711,211.430000,0002M,CPT,ffs,negotiated,professional
39631,302.040000,0002M,CPT,ffs,negotiated,professional
57665,211.430000,0002M,CPT,ffs,negotiated,professional
17664,302.040000,0002M,CPT,ffs,negotiated,professional
48045,211.430000,0002M,CPT,ffs,negotiated,professional
429,503.400000,0002M,CPT,ffs,negotiated,professional
24500,211.430000,0002M,CPT,ffs,negotiated,professional
34501,211.430000,0002M,CPT,ffs,negotiated,professional
46892,211.430000,0002M,CPT,ffs,negotiated,professional
22328,302.040000,0002M,CPT,ffs,negotiated,professional
15114,211.430000,0002M,CPT,ffs,negotiated,professional
3699,211.430000,0002M,CPT,ffs,negotiated,professional
31253,211.430000,0002M,CPT,ffs,negotiated,professional
32951,211.430000,0002M,CPT,ffs,negotiated,professional
51024,211.430000,0002M,CPT,ffs,negotiated,professional
13142,302.040000,0002M,CPT,ffs,negotiated,professional
47876,211.430000,0002M,CPT,ffs,negotiated,professional
40905,211.430000,0002M,CPT,ffs,negotiated,professional
51945,302.040000,0002M,CPT,ffs,negotiated,professional
55868,211.430000,0002M,CPT,ffs,negotiated,professional
16479,211.430000,0002M,CPT,ffs,negotiated,professional
14336,302.040000,0002M,CPT,ffs,negotiated,professional
52979,211.430000,0002M,CPT,ffs,negotiated,professional
49227,302.040000,0002M,CPT,ffs,negotiated,professional
42778,211.430000,0002M,CPT,ffs,negotiated,professional
19888,211.430000,0002M,CPT,ffs,negotiated,professional
59985,302.040000,0002M,CPT,ffs,negotiated,professional
27894,176.190000,0002M,CPT,ffs,negotiated,professional
56442,176.190000,0002M,CPT,ffs,negotiated,professional
18909,302.040000,0002M,CPT,ffs,negotiated,professional
36851,211.430000,0002M,CPT,ffs,negotiated,professional
19936,211.430000,0002M,CPT,ffs,negotiated,professional
15685,211.430000,0002M,CPT,ffs,negotiated,professional
19813,211.430000,0002M,CPT,ffs,negotiated,professional
25238,26.970000,0002M,CPT,ffs,negotiated,professional
31860,211.430000,0002M,CPT,ffs,negotiated,professional
56583,211.430000,0002M,CPT,ffs,negotiated,professional
8059,211.430000,0002M,CPT,ffs,negotiated,professional
12958,211.430000,0002M,CPT,ffs,negotiated,professional
47372,352.380000,0002M,CPT,ffs,negotiated,professional
18203,256.730000,0002M,CPT,ffs,negotiated,professional
3008,211.430000,0002M,CPT,ffs,negotiated,professional
30852,211.430000,0002M,CPT,ffs,negotiated,professional
32009,1219.690000,0002M,CPT,ffs,negotiated,professional
33521,211.430000,0002M,CPT,ffs,negotiated,professional
17545,302.040000,0002M,CPT,ffs,negotiated,professional
45038,211.430000,0002M,CPT,ffs,negotiated,professional
33261,211.430000,0002M,CPT,ffs,negotiated,professional
11213,503.400000,0002M,CPT,ffs,negotiated,professional
38361,302.040000,0002M,CPT,ffs,negotiated,professional
34936,232.570000,0002M,CPT,ffs,negotiated,professional
28820,251.700000,0002M,CPT,ffs,negotiated,professional
37863,251.700000,0002M,CPT,ffs,negotiated,professional
52253,211.430000,0002M,CPT,ffs,negotiated,professional
44536,211.430000,0002M,CPT,ffs,negotiated,professional
17775,211.430000,0002M,CPT,ffs,negotiated,professional
43091,503.400000,0002M,CPT,ffs,negotiated,professional
18526,211.430000,0002M,CPT,ffs,negotiated,professional
10025,211.430000,0002M,CPT,ffs,negotiated,professional
18439,211.430000,0002M,CPT,ffs,negotiated,professional
25387,302.040000,0002M,CPT,ffs,negotiated,professional
22215,211.430000,0002M,CPT,ffs,negotiated,professional
22347,377.550000,0002M,CPT,ffs,negotiated,professional
35509,211.430000,0002M,CPT,ffs,negotiated,professional
50580,211.430000,0002M,CPT,ffs,negotiated,professional
27000,276.870000,0002M,CPT,ffs,negotiated,professional
9423,211.430000,0002M,CPT,ffs,negotiated,professional
25328,251.700000,0002M,CPT,ffs,negotiated,professional
37083,211.430000,0002M,CPT,ffs,negotiated,professional
41515,211.430000,0002M,CPT,ffs,negotiated,professional
52053,302.040000,0002M,CPT,ffs,negotiated,professional
49812,314.220000,0002M,CPT,ffs,negotiated,professional
11517,503.400000,0002M,CPT,ffs,negotiated,professional
11818,211.430000,0002M,CPT,ffs,negotiated,professional
7348,211.430000,0002M,CPT,ffs,negotiated,professional
33790,211.430000,0002M,CPT,ffs,negotiated,professional
1365,302.040000,0002M,CPT,ffs,negotiated,professional
31151,302.040000,0002M,CPT,ffs,negotiated,professional
34759,302.040000,0002M,CPT,ffs,negotiated,professional
32729,226.530000,0002M,CPT,ffs,negotiated,professional
3203,302.040000,0002M,CPT,ffs,negotiated,professional
50671,211.430000,0002M,CPT,ffs,negotiated,professional
36125,302.040000,0002M,CPT,ffs,negotiated,professional
13098,211.430000,0002M,CPT,ffs,negotiated,professional
41305,302.040000,0002M,CPT,ffs,negotiated,professional
30662,211.430000,0002M,CPT,ffs,negotiated,professional
275,211.430000,0002M,CPT,ffs,negotiated,professional
1136,357.680000,0002M,CPT,ffs,negotiated,professional
47836,211.430000,0002M,CPT,ffs,negotiated,professional
4385,503.400000,0002M,CPT,ffs,negotiated,professional
36387,251.700000,0002M,CPT,ffs,negotiated,professional
34610,211.430000,0002M,CPT,ffs,negotiated,professional
12887,302.040000,0002M,CPT,ffs,negotiated,professional
30655,503.400000,0002M,CPT,ffs,negotiated,professional
27291,211.430000,0002M,CPT,ffs,negotiated,professional
39248,211.430000,0002M,CPT,ffs,negotiated,professional
15471,211.430000,0002M,CPT,ffs,negotiated,professional
12452,302.040000,0002M,CPT,ffs,negotiated,professional
58345,302.040000,0002M,CPT,ffs,negotiated,professional
774,211.430000,0002M,CPT,ffs,negotiated,professional
10543,211.430000,0002M,CPT,ffs,negotiated,professional
5350,211.430000,0002M,CPT,ffs,negotiated,professional
15530,211.430000,0002M,CPT,ffs,negotiated,professional
58056,211.430000,0002M,CPT,ffs,negotiated,professional
7015,211.430000,0002M,CPT,ffs,negotiated,professional
25731,211.430000,0002M,CPT,ffs,negotiated,professional
60140,302.040000,0002M,CPT,ffs,negotiated,professional
41367,302.040000,0002M,CPT,ffs,negotiated,professional
61308,211.430000,0002M,CPT,ffs,negotiated,professional
57482,302.040000,0002M,CPT,ffs,negotiated,professional
821,503.400000,0002M,CPT,ffs,negotiated,professional
11675,503.400000,0002M,CPT,ffs,negotiated,professional
55259,211.430000,0002M,CPT,ffs,negotiated,professional
12486,302.040000,0002M,CPT,ffs,negotiated,professional
8944,302.040000,0002M,CPT,ffs,negotiated,professional
60025,302.040000,0002M,CPT,ffs,negotiated,professional
39129,302.040000,0002M,CPT,ffs,negotiated,professional
34041,302.040000,0002M,CPT,ffs,negotiated,professional
61035,1006.800000,0002M,CPT,ffs,negotiated,professional
59008,176.190000,0002M,CPT,ffs,negotiated,professional
15608,211.430000,0002M,CPT,ffs,negotiated,professional
24678,211.430000,0002M,CPT,ffs,negotiated,professional
18221,256.730000,0002M,CPT,ffs,negotiated,professional
44691,226.530000,0002M,CPT,ffs,negotiated,professional
47431,211.430000,0002M,CPT,ffs,negotiated,professional
43945,211.430000,0002M,CPT,ffs,negotiated,professional
36870,302.040000,0002M,CPT,ffs,negotiated,professional
27466,211.430000,0002M,CPT,ffs,negotiated,professional
6479,302.040000,0002M,CPT,ffs,negotiated,professional
58475,211.430000,0002M,CPT,ffs,negotiated,professional
57808,780.270000,0002M,CPT,ffs,negotiated,professional
49517,211.430000,0002M,CPT,ffs,negotiated,professional
59986,211.430000,0002M,CPT,ffs,negotiated,professional
10636,302.040000,0002M,CPT,ffs,negotiated,professional
32620,211.430000,0002M,CPT,ffs,negotiated,professional
13478,211.430000,0002M,CPT,ffs,negotiated,professional
945,211.430000,0002M,CPT,ffs,negotiated,professional
56095,302.040000,0002M,CPT,ffs,negotiated,professional
44802,251.700000,0002M,CPT,ffs,negotiated,professional
4507,1006.800000,0002M,CPT,ffs,negotiated,professional
19294,211.430000,0002M,CPT,ffs,negotiated,professional
37163,211.430000,0002M,CPT,ffs,negotiated,professional
10936,629.250000,0002M,CPT,ffs,negotiated,professional
56032,604.080000,0002M,CPT,ffs,negotiated,institutional
46257,211.430000,0002M,CPT,ffs,negotiated,professional
20411,211.430000,0002M,CPT,ffs,negotiated,professional
9283,302.040000,0002M,CPT,ffs,negotiated,professional
25036,211.430000,0002M,CPT,ffs,negotiated,professional
28577,302.040000,0002M,CPT,ffs,negotiated,professional
59471,211.430000,0002M,CPT,ffs,negotiated,professional
58440,211.430000,0002M,CPT,ffs,negotiated,professional
16506,211.430000,0002M,CPT,ffs,negotiated,professional
31564,211.430000,0002M,CPT,ffs,negotiated,professional
49814,211.430000,0002M,CPT,ffs,negotiated,professional
15538,906.120000,0002M,CPT,ffs,negotiated,professional
41920,176.190000,0002M,CPT,ffs,negotiated,professional
2179,211.430000,0002M,CPT,ffs,negotiated,professional
25029,211.430000,0002M,CPT,ffs,negotiated,professional
54932,302.040000,0002M,CPT,ffs,negotiated,professional
29380,302.040000,0002M,CPT,ffs,negotiated,professional
31206,211.430000,0002M,CPT,ffs,negotiated,professional
48772,302.040000,0002M,CPT,ffs,negotiated,professional
54764,251.700000,0002M,CPT,ffs,negotiated,professional
22653,226.530000,0002M,CPT,ffs,negotiated,professional
39573,302.040000,0002M,CPT,ffs,negotiated,professional
38492,211.430000,0002M,CPT,ffs,negotiated,professional
51825,211.430000,0002M,CPT,ffs,negotiated,professional
59661,276.870000,0002M,CPT,ffs,negotiated,professional
37915,302.040000,0002M,CPT,ffs,negotiated,professional
14661,302.040000,0002M,CPT,ffs,negotiated,professional
58872,211.430000,0002M,CPT,ffs,negotiated,professional
10974,302.040000,0002M,CPT,ffs,negotiated,professional
26135,226.530000,0002M,CPT,ffs,negotiated,professional
39353,211.430000,0002M,CPT,ffs,negotiated,professional
58455,211.430000,0002M,CPT,ffs,negotiated,professional
37793,211.430000,0002M,CPT,ffs,negotiated,professional
38460,503.400000,0002M,CPT,ffs,negotiated,professional
8208,211.430000,0002M,CPT,ffs,negotiated,professional
34752,1137.680000,0002M,CPT,ffs,negotiated,institutional
6373,211.430000,0002M,CPT,ffs,negotiated,professional
57818,251.700000,0002M,CPT,ffs,negotiated,professional
47378,211.430000,0002M,CPT,ffs,negotiated,professional
9265,211.430000,0002M,CPT,ffs,negotiated,professional
13313,302.040000,0002M,CPT,ffs,negotiated,professional
9110,211.430000,0002M,CPT,ffs,negotiated,professional
23192,503.400000,0002M,CPT,ffs,negotiated,institutional
658,211.430000,0002M,CPT,ffs,negotiated,professional
31584,302.040000,0002M,CPT,ffs,negotiated,professional
45769,226.530000,0002M,CPT,ffs,negotiated,professional
57563,302.040000,0002M,CPT,ffs,negotiated,professional
46745,251.700000,0002M,CPT,ffs,negotiated,professional
57542,211.430000,0002M,CPT,ffs,negotiated,professional
29721,302.040000,0002M,CPT,ffs,negotiated,professional
38454,211.430000,0002M,CPT,ffs,negotiated,professional
42032,503.400000,0002M,CPT,ffs,negotiated,professional
9419,211.430000,0002M,CPT,ffs,negotiated,professional
6975,211.430000,0002M,CPT,ffs,negotiated,professional
194,211.430000,0002M,CPT,ffs,negotiated,professional
40906,211.430000,0002M,CPT,ffs,negotiated,professional
60767,211.430000,0002M,CPT,ffs,negotiated,professional
33399,211.430000,0002M,CPT,ffs,negotiated,professional
40836,211.430000,0002M,CPT,ffs,negotiated,professional
34955,211.430000,0002M,CPT,ffs,negotiated,professional
10795,211.430000,0002M,CPT,ffs,negotiated,professional
36495,211.430000,0002M,CPT,ffs,negotiated,professional
24479,211.430000,0002M,CPT,ffs,negotiated,professional
35070,302.040000,0002M,CPT,ffs,negotiated,professional
55179,211.430000,0002M,CPT,ffs,negotiated,professional
13820,302.040000,0002M,CPT,ffs,negotiated,professional
6327,211.430000,0002M,CPT,ffs,negotiated,professional
52807,529.070000,0002M,CPT,ffs,negotiated,professional
53199,302.040000,0002M,CPT,ffs,negotiated,professional
9143,211.430000,0002M,CPT,ffs,negotiated,professional
3817,293.990000,0002M,CPT,ffs,negotiated,professional
219,302.040000,0002M,CPT,ffs,negotiated,professional
19208,211.430000,0002M,CPT,ffs,negotiated,professional
23805,641.840000,0002M,CPT,ffs,negotiated,professional
48527,211.430000,0002M,CPT,ffs,negotiated,professional
10669,302.040000,0002M,CPT,ffs,negotiated,professional
59344,211.430000,0002M,CPT,ffs,negotiated,professional
50665,302.040000,0002M,CPT,ffs,negotiated,professional
2603,302.040000,0002M,CPT,ffs,negotiated,professional
10634,211.430000,0002M,CPT,ffs,negotiated,professional
25086,211.430000,0002M,CPT,ffs,negotiated,professional
16849,226.530000,0002M,CPT,ffs,negotiated,professional
3034,503.400000,0002M,CPT,ffs,negotiated,professional
15499,589.870000,0002M,CPT,ffs,negotiated,professional
52022,503.400000,0002M,CPT,ffs,negotiated,professional
36411,176.190000,0002M,CPT,ffs,negotiated,professional
9285,211.430000,0002M,CPT,ffs,negotiated,professional
6387,211.430000,0002M,CPT,ffs,negotiated,professional
28029,251.700000,0002M,CPT,ffs,negotiated,professional
28082,503.400000,0002M,CPT,ffs,negotiated,professional
56986,302.040000,0002M,CPT,ffs,negotiated,professional
31738,302.040000,0002M,CPT,ffs,negotiated,professional
47901,211.430000,0002M,CPT,ffs,negotiated,professional
